ZipCode,MedianMonthlyCost
00601,154
00602,175
00603,234
00606,135
00610,191
00611,168
00612,293
00616,205
00617,264
00622,217
00623,275
00624,241
00627,210
00631,151
00636,154
00637,173
00638,178
00641,187
00646,385
00647,177
00650,247
00652,405
00653,152
00656,183
00659,243
00660,293
00662,237
00664,174
00667,185
00669,176
00670,144
00674,232
00676,219
00677,186
00678,218
00680,233
00682,274
00683,164
00685,182
00687,249
00688,236
00690,502
00692,373
00693,261
00694,-
00698,184
00703,198
00704,287
00705,198
00707,188
00714,255
00715,166
00716,310
00717,297
00718,215
00719,264
00720,159
00723,209
00725,407
00727,606
00728,255
00729,359
00730,236
00731,168
00735,262
00736,298
00738,423
00739,266
00740,219
00741,272
00745,361
00751,200
00754,207
00757,293
00765,189
00766,190
00767,192
00769,220
00771,291
00772,163
00773,299
00775,280
00777,471
00778,602
00780,592
00782,201
00783,238
00784,267
00786,100-
00791,260
00794,193
00795,258
00901,932
00906,-
00907,975
00909,703
00911,1183
00912,719
00913,1008
00915,215
00917,385
00918,908
00920,683
00921,726
00923,399
00924,508
00925,499
00926,685
00927,735
00934,-
00949,452
00950,-
00951,-
00952,265
00953,652
00956,450
00957,460
00959,583
00960,-
00961,538
00962,300
00965,254
00966,1223
00968,967
00969,980
00971,343
00976,581
00979,798
00982,575
00983,672
00985,491
00987,738
01001,1308
01002,1950
01003,-
01005,1507
01007,1911
01008,1552
01009,1663
01010,1900
01011,1422
01012,1938
01013,1505
01020,1250
01022,1043
01026,1210
01027,1575
01028,1853
01029,1297
01030,1713
01031,1526
01032,1630
01033,1801
01034,1535
01035,1797
01036,1790
01037,860
01038,1661
01039,1670
01040,1410
01050,1561
01053,1836
01054,1536
01056,1342
01057,1572
01060,1632
01062,1715
01063,-
01066,1029
01068,1465
01069,1563
01070,1308
01071,1842
01072,1650
01073,1654
01074,-
01075,1462
01077,1594
01079,-
01080,1469
01081,1591
01082,1532
01083,1868
01084,1641
01085,1459
01088,594
01089,1607
01092,1974
01093,1150
01094,1650
01095,2059
01096,1688
01097,-
01098,1357
01103,780
01104,1552
01105,1196
01106,2325
01107,1406
01108,1652
01109,1439
01118,1553
01119,1366
01128,1621
01129,1513
01144,-
01151,1205
01201,1330
01220,987
01222,1835
01223,1382
01224,1166
01225,1221
01226,1496
01229,658
01230,1787
01235,1368
01236,1955
01237,1355
01238,1533
01240,2134
01242,-
01243,1430
01244,1531
01245,1042
01247,1063
01253,1181
01254,1515
01255,1334
01256,1075
01257,1846
01258,1598
01259,1722
01260,-
01262,2036
01264,1159
01266,1406
01267,1582
01270,1593
01301,1318
01330,1405
01331,1360
01337,1438
01338,913
01339,1151
01340,1273
01341,1409
01342,1859
01343,1188
01344,1313
01346,1220
01347,-
01349,1259
01350,1106
01351,1482
01354,1547
01355,1591
01360,1467
01364,1154
01366,1321
01367,1095
01368,1357
01370,1278
01373,1780
01375,1349
01376,1146
01378,1071
01379,1138
01380,-
01420,1799
01430,1887
01431,1770
01432,1955
01434,2291
01436,1538
01438,1613
01440,1469
01450,2976
01451,3178
01452,1605
01453,1779
01460,2271
01462,2036
01463,2308
01464,2331
01468,1689
01469,2099
01473,1879
01474,2166
01475,1650
01501,1804
01503,2017
01504,1977
01505,2109
01506,1486
01507,1801
01510,1771
01515,1660
01516,2162
01518,2429
01519,2817
01520,2228
01521,1422
01522,1696
01523,2225
01524,1665
01525,-
01527,1988
01529,1844
01531,1411
01532,2768
01534,2223
01535,1382
01536,2243
01537,1657
01540,1771
01541,2052
01542,1905
01543,2221
01545,2242
01550,1695
01560,2443
01561,-
01562,1676
01564,2045
01566,2120
01568,2490
01569,2123
01570,1609
01571,1896
01581,2647
01583,1937
01585,1339
01588,2016
01590,2203
01602,1824
01603,1595
01604,1693
01605,1686
01606,1785
01607,1823
01608,871
01609,1795
01610,1806
01611,1795
01612,2174
01701,2352
01702,2307
01718,2199
01719,3065
01720,2932
01721,2422
01730,2663
01731,-
01740,3278
01741,3731
01742,3435
01745,2250
01746,2620
01747,2070
01748,3305
01749,1994
01752,2077
01754,2533
01756,2523
01757,1972
01760,2594
01770,3791
01772,3160
01773,3183
01775,3215
01776,3785
01778,3517
01801,2318
01803,2223
01810,3182
01821,2130
01824,2393
01826,1893
01827,2660
01830,2028
01832,1844
01833,2427
01834,2488
01835,2116
01840,2404
01841,1839
01843,1726
01844,2008
01845,2659
01850,1908
01851,2036
01852,1916
01854,1793
01860,1717
01862,2472
01863,2353
01864,2669
01867,2695
01876,2247
01879,2453
01880,2734
01886,2808
01887,2535
01890,3494
01901,2557
01902,2304
01904,2343
01905,2074
01906,2223
